ИНН,Сокращенное наименование,Полное наименование,В реестре,Статус проверки,Найденное название,ОГРН,Выручка,Налоги,Сотрудники,Применяет УСН,Ошибка
3900008350,"АНО ""КИБЕРСПОРТ""","АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПО РАЗВИТИЮ КОМПЬЮТЕРНОГО СПОРТА ""КИБЕРСПОРТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"АНО ""КИБЕРСПОРТ""",,Нет данных,Нет данных,Нет данных,Нет данных,
3900038154,"ООО ""СИ ПОРТАЛ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИ ПОРТАЛ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""СИ ПОРТАЛ""",,Нет данных,Нет данных,Нет данных,Да,
3904062782,"МКУ ""ЦИКТ""","МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ИНФОРМАЦИОННО-КОММУНИКАЦИОННЫХ ТЕХНОЛОГИЙ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"МКУ ""ЦИКТ""",,Нет данных,Нет данных,Нет данных,Нет данных,
3906055276,МИАЦ,"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""МЕДИЦИНСКИЙ ИНФОРМАЦИОННО-АНАЛИТИЧЕСКИЙ ЦЕНТР КАЛИНИНГРАДСКОЙ ОБЛАСТИ""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,МИАЦ,,Нет данных,Нет данных,Нет данных,Нет данных,
3906361562,"ГКУ КО ""ЦЦТ""","ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ КАЛИНИНГРАДСКОЙ ОБЛАСТИ ""ЦЕНТР ЦИФРОВЫХ ТЕХНОЛОГИЙ""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,"ГКУ КО ""ЦЦТ""",,Нет данных,Нет данных,Нет данных,Нет данных,
5024182694,"ООО ""ИННОСЕТИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИННОСЕТИ""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,"ООО ""ИННОСЕТИ""",,7127049000,117131132,119,Нет,
3906402988,"ООО ""АЙСИЭЛ ЗАПАД""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙСИЭЛ ЗАПАД""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,"ООО ""АЙСИЭЛ ЗАПАД""",,459192000,114472790,264,Нет,
3906397181,"ООО ""ВОКСИС ЛАБ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОКСИС ЛАБ""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,"ООО ""ВОКСИС ЛАБ""",,1033027000,99802324,827,Нет,
3906083040,"ООО ""СИСТЕМНЫЕ ТЕХНОЛОГИИ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИСТЕМНЫЕ ТЕХНОЛОГИИ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""СИСТЕМНЫЕ ТЕХНОЛОГИИ""",,507913000,87392630,197,Нет,
7708542719,"ООО ""НОРД СИСТЕМС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОРД СИСТЕМС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""НОРД СИСТЕМС""",,568892000,52493384,14,Нет,
3906900574,"ООО ""КОДЭ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОДЭ""",Нет,Компания не входит в реестр аккредитованных ИТ-компаний,"ООО ""КОДЭ""",,482232000,41834647,111,Нет,
3913013862,"ООО "" СОДРУЖЕСТВО-ИНФО""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОДРУЖЕСТВО-ИНФО""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО "" СОДРУЖЕСТВО-ИНФО""",,213203000,34643915,59,Нет,
3902011454,"ООО ""ДЕБЕКС""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕБЕКС""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""ДЕБЕКС""",,222626000,32823358,19,Нет,
7713721953,"ООО ""БФТ-ПРОЕКТ""","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БФТ-ПРОЕКТ""",Да,Компания входит в реестр аккредитованных ИТ-компаний,"ООО ""БФТ-ПРОЕКТ""",,807941000,29279912,93,Нет,
